feature,final_status,dropped_reasons,dropped_stages,coerced_to_nan
c_AATS0are,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_AATS0s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATS0se,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_AATS1Z,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATS1are,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATS1d,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATS1dv,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATS1i,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATS1m,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATS1p,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATS1pe,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATS1s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATS1se,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATS1v,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATS2Z,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_AATS2are,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_AATS2d,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_AATS2dv,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_AATS2i,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_AATS2m,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_AATS2p,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_AATS2pe,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_AATS2s,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_AATS2se,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_AATS2v,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_AATS3Z,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_AATS3are,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_AATS3d,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_AATS3dv,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
