SMILES,N,TTR binding activity,UNIT {TTR binding activity}
CC1(C)[C@@H]2C[C@H]1C(=C)CC2,2,12.3,% 
COC(=O)C(C)OC1=CC=C(OC2=CC=C(Cl)C=C2Cl)C=C1,3,94.1,% 
CCCCCCCCCCCCCC(=O)OCC(O)CO,5,38.1,% 
CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,6,11.8,% 
CCCCCCCCC\C=C\CC1CC(=O)OC1=O,7,98.4,% 
CCC\C=C\C=O,8,52.2,% 
CC1=NN(CO)C(C)=C1,12,32.8,% 
CC\C=C/CCOC(C)=O,13,14,% 
CCCCC\C=C/CCC=O,14,69.6,% 
C\C=C\C=C\CCCCCCCO,15,61.9,% 
CC(=C)C(=O)OCCO.C1CC2CC1C1CC=CC21,17,75.5,% 
C[C@H](CCO)CCC=C(C)C,20,38.8,% 
CC\C=C/CCO,21,19,% 
CC1=C(C)C(NC2=NC(SCC(O)=O)=NC(Cl)=C2)=CC=C1,23,94.3,% 
ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=C(Cl)C=CC=C1,24,28,% 
CC1(C)N(CO)C(=O)NC1=O,27,3.9,% 
COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,28,101.7,% 
CCO[Si](CCCNC(N)=O)(OCC)OCC,29,-29.5,% 
CC(O)CN,30,5.5,% 
CC1(C)N(Br)C(=O)N(Cl)C1=O,32,33.5,% 
FC(F)(F)C1=CC=C(Cl)C=C1,35,8.9,% 
[O-][N+](=O)C1=CC=C(Cl)C=C1,36,28,% 
CCCCCCCCCCN,37,10.1,% 
CCCCCCCCCCO,38,69.5,% 
CCCCCCCCCCCCS,39,5.1,% 
CCCCCCCCCCCCO,40,71.3,% 
CCCCCCCCCCCCN1CCCC1=O,41,29.7,% 
CCOCC(C)O,42,3,% 
CCCCCCCCCCCCCCCCO,44,-22.4,% 
CCCCCCO,45,10.5,% 
COCC(C)O,46,7.9,% 
CCC(C)(C)C1CCC(CC1)OC,47,34.2,% 
CN1C=C(C(=O)C(=C1)C1=CC(=CC=C1)C(F)(F)F)C1=CC=CC=C1,48,23.8,% 
CC1=C2C=CC=CC2=CC=C1,49,24.8,% 
CCCCCCCCCCCC(=O)OCC(O)CO,51,52.4,% 
